Serial,Order,EndOfPourTimeStamp,Line,Blend,SmartPartNumber
22768696,H001108727-1,1/31/2024 20:34,2,29,I24LS-61SS-7V-1202NS-NNNNN-NXN
22768697,H001108727-1,1/31/2024 20:31,2,29,I24LS-61SS-7V-1202NS-NNNNN-NXN
22711637,H001108734-2,1/22/2024 15:04,1,29,T21LW-61GN-7V-1800SS-NNNNN-NXN
22711620,H001108735-1,1/22/2024 6:44,1,29,B24LW-61BN-7V-0900SS-NNNNN-NXL
22711621,H001108735-1,1/22/2024 6:44,1,29,I24LW-61BN-7V-0900SS-NNNNN-NXN
22711622,H001108735-1,1/22/2024 6:45,1,29,I24LW-61BN-7V-0900SS-NNNNN-NXN
22711623,H001108735-1,1/22/2024 7:01,1,29,T24LW-61BN-7V-0900SS-NNNNN-NXN
22711624,H001108735-2,1/22/2024 6:26,1,29,B24LW-61BN-7V-1600SS-NNNNN-NXL
22744126,H001108738-1,1/26/2024 11:31,1,29,I24LW-61HN-7V-1202NS-NNNNN-NXN
22744127,H001108738-1,1/26/2024 11:29,1,29,T24LW-61HN-7V-1202NS-NNNNN-NXN
22744128,H001108738-1,1/26/2024 11:31,1,29,T24LW-61HN-7V-1202NS-NNNNN-NXN
22743658,H001108738-2,1/29/2024 2:42,1,29,I21LW-61HN-7V-1600NS-NNNNN-NXN
22743659,H001108738-2,1/29/2024 2:43,1,29,I21LW-61HN-7V-1600NS-NNNNN-NXN
22743660,H001108738-2,1/28/2024 19:13,2,29,T24LW-61NN-7V-1600NL-04CAR-C5A
22744380,H001108741-1,1/26/2024 11:15,1,29,B24LW-61HN-7V-1800NS-NNNNN-NXL
22742673,H001108742-2,1/26/2024 11:53,1,29,B24LW-61HN-7V-0900NS-NNNNN-NXL
22742674,H001108742-2,1/26/2024 11:53,1,29,I24LW-61HN-7V-0900NS-NNNNN-NXN
22742675,H001108742-2,1/26/2024 11:53,1,29,I24LW-61HN-7V-0900NS-NNNNN-NXN
3695379,H000063909-1,8/9/2024 16:03,1,29,T21UW-61CN-1V-0900NS-NNNNN-NXN
3686010,H000063683-2,8/7/2024 7:35,1,29,I24UB-61CN-1V-0900NS-NNNNN-NXN
13652944,H000631040-1,2/7/2024 21:29,1,29,I24UT-61NN-7V-0800NT-NNNNN-NXN
22696467,H001108701-1,1/18/2024 4:23,1,29,I24LD-61NV-7V-1000NS-NNNNN-NXN
22696469,H001108701-1,1/18/2024 4:27,1,29,T24LD-61NV-7V-1000NS-NNNNN-NXN
22696458,H001108702-1,1/18/2024 23:43,2,29,I21LK-61NN-7V-1400NL-01CAR-NBN
